#options: 480x480 fps=16667/1000 timebase=1000/16667 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=12 lookahead_threads=3 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=1 keyint=250 keyint_min=16 scenecut=40 intra_refresh=0 rc_lookahead=10 rc=abr mbtree=1 bitrate=1000 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.41 aq=1:1.00
in:0 out:0 type:I dur:2 cpbdur:2 q:22.85 aq:11.75 tex:51048 mv:20906 misc:6038 imb:900 pmb:0 smb:0 d:- ref:;
in:3 out:1 type:P dur:2 cpbdur:2 q:23.14 aq:14.26 tex:8580 mv:2405 misc:767 imb:10 pmb:324 smb:566 d:- ref:0 ;
in:1 out:2 type:B dur:2 cpbdur:2 q:23.14 aq:16.94 tex:1421 mv:474 misc:633 imb:0 pmb:153 smb:747 d:- ref:0 ;
in:2 out:3 type:b dur:2 cpbdur:2 q:23.14 aq:15.61 tex:160 mv:228 misc:436 imb:0 pmb:88 smb:812 d:- ref:0 ;
in:5 out:4 type:P dur:2 cpbdur:2 q:22.54 aq:12.38 tex:18144 mv:2930 misc:926 imb:20 pmb:523 smb:357 d:- ref:0 ;
in:4 out:5 type:b dur:2 cpbdur:2 q:22.84 aq:17.46 tex:1557 mv:647 misc:804 imb:0 pmb:199 smb:701 d:- ref:0 ;
in:9 out:6 type:P dur:2 cpbdur:2 q:22.15 aq:12.23 tex:41392 mv:5627 misc:397 imb:62 pmb:792 smb:46 d:- ref:0 ;
in:7 out:7 type:B dur:2 cpbdur:2 q:22.34 aq:15.92 tex:10219 mv:3515 misc:962 imb:8 pmb:601 smb:291 d:- ref:0 ;
in:6 out:8 type:b dur:2 cpbdur:2 q:22.44 aq:16.52 tex:1240 mv:543 misc:713 imb:1 pmb:172 smb:727 d:- ref:0 ;
in:8 out:9 type:b dur:2 cpbdur:2 q:22.25 aq:17.14 tex:5542 mv:2455 misc:963 imb:7 pmb:397 smb:496 d:- ref:0 ;
in:13 out:10 type:P dur:2 cpbdur:2 q:21.41 aq:11.92 tex:35483 mv:3747 misc:626 imb:25 pmb:763 smb:112 d:- ref:0 ;
in:11 out:11 type:B dur:2 cpbdur:2 q:21.78 aq:14.44 tex:10142 mv:3128 misc:962 imb:0 pmb:577 smb:323 d:- ref:0 ;
in:10 out:12 type:b dur:2 cpbdur:2 q:21.97 aq:15.58 tex:1221 mv:421 misc:830 imb:0 pmb:209 smb:691 d:- ref:0 ;
in:12 out:13 type:b dur:2 cpbdur:2 q:21.60 aq:16.77 tex:4172 mv:1843 misc:953 imb:0 pmb:356 smb:544 d:- ref:0 ;
in:15 out:14 type:P dur:2 cpbdur:2 q:16.20 aq:6.72 tex:98072 mv:3393 misc:455 imb:18 pmb:821 smb:61 d:- ref:0 ;
in:14 out:15 type:b dur:2 cpbdur:2 q:18.81 aq:14.15 tex:6410 mv:2741 misc:929 imb:0 pmb:440 smb:460 d:- ref:0 ;
in:16 out:16 type:P dur:2 cpbdur:2 q:13.35 aq:4.08 tex:88798 mv:822 misc:708 imb:2 pmb:722 smb:176 d:- ref:0 ;
in:17 out:17 type:P dur:2 cpbdur:2 q:11.91 aq:3.20 tex:95334 mv:2227 misc:767 imb:10 pmb:687 smb:203 d:- ref:0 ;
in:18 out:18 type:P dur:2 cpbdur:2 q:12.73 aq:4.11 tex:67527 mv:2343 misc:874 imb:10 pmb:603 smb:287 d:- ref:0 ;
in:22 out:19 type:P dur:2 cpbdur:2 q:12.28 aq:3.21 tex:183676 mv:4630 misc:454 imb:129 pmb:711 smb:60 d:- ref:0 ;
